# wavelength   electrons_per_sec       
  606.259      0.4163407407407408      
  606.986      0.4170814814814815      
  607.713      0.417937037037037       
  608.441      0.41849351851851857     
  609.168      0.41770833333333335     
  609.896      0.41653425925925924     
  610.623      0.4154601851851852      
  611.351      0.4149648148148148      
  612.078      0.41859074074074076     
  612.806      0.42733611111111114     
  613.533      0.43354444444444445     
  614.261      0.4368324074074074      
  614.988      0.44180185185185183     
  615.715      0.4487277777777778      
  616.443      0.4487379629629629      
  617.17       0.44808425925925927     
  617.898      0.4497611111111111      
  618.625      0.4507657407407407      
  619.353      0.45013240740740745     
  620.08       0.4530296296296296      
  620.808      0.4624194444444445      
  621.535      0.48682037037037035     
  622.263      0.536962037037037       
  622.99       0.5717018518518518      
  623.717      0.5932879629629629      
  624.445      0.6263055555555556      
  625.172      0.6335462962962963      
  625.9        0.592725925925926       
  626.627      0.5675583333333334      
  627.355      0.610037037037037       
  628.082      0.9466111111111111      
  628.81       1.6677037037037037      
  629.537      2.0610833333333334      
  630.265      2.112972222222222       
  630.992      2.0713981481481483      
  631.719      1.7349444444444444      
  632.447      0.9983518518518518      
  633.174      0.5947462962962963      
  633.902      0.5520518518518518      
  634.629      0.6577296296296297      
  635.357      0.8557555555555556      
  636.084      0.9547592592592593      
  636.812      0.9704074074074074      
  637.539      0.9492592592592592      
  638.267      0.8090601851851852      
  638.994      0.5589638888888889      
  639.721      0.43887314814814815     
  640.449      0.4224092592592592      
  641.176      0.4133361111111111      
  641.904      0.40819074074074074     
  642.631      0.40709907407407403     
  643.359      0.4041                  
  644.086      0.4050212962962963      
  644.814      0.4341583333333333      
  645.541      0.4828277777777778      
  646.269      0.5084351851851852      
  646.996      0.5137805555555556      
  647.723      0.5291990740740741      
  648.451      0.5554527777777778      
  649.178      0.5519111111111111      
  649.906      0.5466416666666667      
  650.633      0.5543453703703703      
  651.361      0.5527731481481482      
  652.088      0.5382157407407407      
  652.816      0.5290527777777777      
  653.543      0.5401527777777778      
  654.271      0.572987037037037       
  654.998      0.5838064814814815      
  655.725      0.5724731481481481      
  656.453      0.5794296296296296      
  657.18       0.568150925925926       
  657.908      0.5260972222222222      
  658.635      0.5037870370370371      
  659.363      0.48657314814814817     
  660.09       0.44887685185185183     
  660.818      0.42865277777777777     
  661.545      0.4267592592592593      
  662.273      0.4186925925925926      
  663.0        0.40120555555555554     
  663.727      0.39244351851851855     
  664.455      0.391562962962963       
  665.182      0.39002777777777775     
  665.91       0.38422222222222224     
  666.637      0.38110462962962965     
  667.365      0.3808435185185185      
  668.092      0.3800824074074074      
  668.82       0.37849537037037034     
  669.547      0.37952129629629633     
  670.275      0.3820787037037037      
  671.002      0.3841425925925926      
  671.729      0.3847185185185185      
  672.457      0.3842                  
  673.184      0.3837203703703704      
  673.912      0.38185185185185183     
  674.639      0.379062962962963       
  675.367      0.37600092592592593     
  676.094      0.37218333333333337     
  676.822      0.369587962962963       
  677.549      0.36935092592592594     
  678.277      0.36932314814814815     
  679.004      0.3691027777777778      
  679.731      0.3700777777777778      
  680.459      0.3856759259259259      
  681.186      0.461312962962963       
  681.914      0.5932138888888889      
  682.641      0.6704055555555556      
  683.369      0.6946055555555555      
  684.096      0.7408453703703703      
  684.824      0.7850601851851852      
  685.551      0.7168611111111111      
  686.279      0.6533018518518519      
  687.006      0.6506731481481481      
  687.733      0.6249777777777779      
  688.461      0.5391111111111111      
  689.188      0.5028972222222222      
  689.916      0.5240833333333333      
  690.643      0.5464351851851852      
  691.371      0.573462037037037       
  692.098      0.586625                
  692.826      0.6272398148148147      
  693.553      0.6816481481481481      
  694.281      0.6799120370370371      
  695.008      0.6355768518518519      
  695.735      0.6272027777777778      
  696.463      0.6087685185185185      
  697.19       0.5424564814814815      
  697.918      0.5045092592592593      
  698.645      0.4939046296296296      
  699.373      0.4743833333333333      
  700.1        0.447175                
  700.828      0.43303703703703705     
  701.555      0.42843425925925926     
  702.283      0.4238712962962963      
  703.01       0.42189537037037034     
  703.737      0.4257916666666667      
  704.465      0.4347185185185185      
  705.192      0.4467157407407408      
  705.92       0.4554064814814815      
  706.647      0.451687037037037       
  707.375      0.4385731481481482      
  708.102      0.4272796296296296      
  708.83       0.41524259259259255     
  709.557      0.4010027777777778      
  710.285      0.3852046296296296      
  711.012      0.3737814814814815      
  711.739      0.3741240740740741      
  712.467      0.3794787037037037      
  713.194      0.389175                
  713.922      0.3971555555555556      
  714.649      0.40076111111111107     
  715.377      0.40005740740740736     
  716.104      0.4002972222222222      
  716.832      0.3950027777777778      
  717.559      0.3855777777777778      
  718.287      0.3759166666666667      
  719.014      0.3673453703703704      
  719.741      0.3589092592592592      
  720.469      0.35537962962962966     
  721.196      0.3744527777777778      
  721.924      0.4878240740740741      
  722.651      0.7557185185185186      
  723.379      1.0206018518518518      
  724.106      1.1516666666666666      
  724.834      1.1888148148148148      
  725.561      1.2156296296296296      
  726.289      1.234611111111111       
  727.016      1.1885833333333333      
  727.743      1.1428148148148147      
  728.471      1.14925                 
  729.198      1.090324074074074       
  729.926      0.9279722222222222      
  730.653      0.9210351851851852      
  731.381      1.0019259259259259      
  732.108      1.0913425925925926      
  732.836      1.2330277777777778      
  733.563      1.2567222222222223      
  734.291      1.1461759259259259      
  735.018      1.1098240740740741      
  735.746      1.1481666666666666      
  736.473      1.0281574074074074      
  737.2        0.9292037037037038      
  737.928      0.9310277777777778      
  738.655      0.9252166666666666      
  739.383      0.7924703703703704      
  740.11       0.711912962962963       
  740.838      0.7082296296296297      
  741.565      0.7004953703703704      
  742.293      0.6624175925925927      
  743.02       0.6393259259259259      
  743.748      0.6276490740740741      
  744.475      0.6037768518518518      
  745.202      0.5706592592592592      
  745.93       0.5786824074074074      
  746.657      0.6366212962962964      
  747.385      0.6996861111111111      
  748.112      0.715975                
  748.84       0.664375925925926       
  749.567      0.5816268518518518      
  750.295      0.5669305555555556      
  751.022      0.6549351851851852      
  751.75       0.7363231481481481      
  752.477      0.7682638888888889      
  753.204      0.7662166666666667      
  753.932      0.7057518518518519      
  754.659      0.5836203703703704      
  755.387      0.532625                
  756.114      0.5900731481481482      
  756.842      0.6418648148148147      
  757.569      0.6689916666666668      
  758.297      0.6528814814814815      
  759.024      0.5656296296296296      
  759.752      0.446687962962963       
  760.479      0.393325                
  761.206      0.3673101851851852      
  761.934      0.36595185185185186     
  762.661      0.38706574074074074     
  763.389      0.4023083333333334      
  764.116      0.41016759259259256     
  764.844      0.42013148148148144     
  765.571      0.4095944444444444      
  766.299      0.4142796296296296      
  767.026      0.44222870370370365     
  767.754      0.4665398148148148      
  768.481      0.48866296296296297     
  769.208      0.6105824074074073      
  769.936      0.9212101851851852      
  770.663      1.243212962962963       
  771.391      1.3992685185185185      
  772.118      1.441861111111111       
  772.846      1.4792037037037038      
  773.573      1.473148148148148       
  774.301      1.3563796296296295      
  775.028      1.3352037037037037      
  775.756      1.3919814814814815      
  776.483      1.3526666666666667      
  777.21       1.2162407407407407      
  777.938      1.245824074074074       
  778.665      1.2439259259259259      
  779.393      1.2326666666666666      
  780.12       1.3130925925925927      
  780.848      1.4506481481481481      
  781.575      1.3596203703703704      
  782.303      1.2794351851851853      
  783.03       1.40275                 
  783.758      1.6281759259259259      
  784.485      1.6388148148148147      
  785.212      1.660824074074074       
  785.94       1.771064814814815       
  786.667      1.721787037037037       
  787.395      1.4360092592592593      
  788.122      1.1829537037037037      
  788.85       1.0463425925925927      
  789.577      1.0509444444444445      
  790.305      1.289111111111111       
  791.032      1.5258425925925927      
  791.76       1.6694907407407407      
  792.487      1.7024537037037037      
  793.214      1.5614074074074074      
  793.942      1.2188425925925925      
  794.669      1.0178981481481482      
  795.397      1.108787037037037       
  796.124      1.2396111111111112      
  796.852      1.330111111111111       
  797.579      1.431462962962963       
  798.307      1.5465277777777777      
  799.034      1.4030555555555555      
  799.762      1.2734351851851853      
  800.489      1.3183796296296297      
  801.216      1.3835648148148147      
  801.944      1.2309907407407408      
  802.671      1.1150833333333334      
  803.399      1.0746111111111112      
  804.126      0.9780462962962962      
  804.854      0.8326972222222222      
  805.581      0.7508203703703704      
  806.309      0.7355268518518518      
  807.036      0.7126111111111111      
  807.764      0.633125                
  808.491      0.5580555555555555      
  809.218      0.557687962962963       
  809.946      0.5634111111111111      
  810.673      0.5543555555555556      
  811.401      0.5421537037037036      
  812.128      0.5111231481481482      
  812.856      0.4791370370370371      
  813.583      0.4778074074074074      
  814.311      0.4794805555555556      
  815.038      0.4701555555555556      
  815.766      0.45255370370370374     
  816.493      0.42521574074074076     
  817.22       0.4030722222222223      
  817.948      0.40491481481481484     
  818.675      0.4168898148148148      
  819.403      0.42877314814814815     
  820.13       0.43675648148148144     
  820.858      0.43374166666666664     
  821.585      0.42044722222222225     
  822.313      0.4124027777777778      
  823.04       0.41316296296296295     
  823.768      0.41975555555555555     
  824.495      0.4290490740740741      
  825.222      0.4505351851851852      
  825.95       0.5666962962962963      
  826.677      0.8792601851851852      
  827.405      1.2529074074074074      
  828.132      1.5693703703703703      
  828.86       1.8698425925925926      
  829.587      1.9543796296296296      
  830.315      1.69925                 
  831.042      1.3309722222222222      
  831.77       1.0532037037037036      
  832.497      1.0532592592592593      
  833.224      1.5444537037037036      
  833.952      1.984574074074074       
  834.679      2.159990740740741       
  835.407      2.2190462962962965      
  836.134      2.0154537037037037      
  836.862      1.4790648148148149      
  837.589      1.0845648148148148      
  838.317      1.125398148148148       
  839.044      1.461685185185185       
  839.772      1.6451296296296296      
  840.499      1.7090555555555556      
  841.226      1.9054907407407407      
  841.954      2.114990740740741       
  842.681      1.902388888888889       
  843.409      1.714888888888889       
  844.136      1.6694444444444445      
  844.864      1.6194537037037038      
  845.591      1.5507407407407408      
  846.319      1.520398148148148       
  847.046      1.4924907407407408      
  847.774      1.4370833333333333      
  848.501      1.3384814814814814      
  849.228      1.1677037037037037      
  849.956      1.0718518518518518      
  850.683      1.0161944444444444      
  851.411      0.9190916666666666      
  852.138      0.846199074074074       
  852.866      0.8291898148148148      
  853.593      0.8715296296296297      
  854.321      0.8964601851851851      
  855.048      0.8929361111111112      
  855.776      0.8289453703703704      
  856.503      0.6716462962962964      
  857.23       0.556787037037037       
  857.958      0.542699074074074       
  858.685      0.5691435185185185      
  859.413      0.5931388888888889      
  860.14       0.6487759259259259      
  860.868      0.7941398148148149      
  861.595      1.013601851851852       
  862.323      1.184462962962963       
  863.05       1.314851851851852       
  863.778      1.4957037037037038      
  864.505      1.6589074074074075      
  865.232      1.689148148148148       
  865.96       1.702574074074074       
  866.687      1.6902685185185184      
  867.415      1.5164537037037038      
  868.142      1.2319907407407407      
  868.87       0.9932314814814814      
  869.597      0.8035324074074074      
  870.325      0.6618953703703704      
  871.052      0.5858666666666666      
  871.78       0.5490296296296296      
  872.507      0.5221842592592593      
  873.234      0.5240731481481482      
  873.962      0.7197805555555555      
  874.689      1.2759907407407407      
  875.417      1.9197407407407407      
  876.144      2.4154444444444443      
  876.872      2.8350555555555554      
  877.599      2.9118333333333335      
  878.327      2.4351018518518517      
  879.054      1.8033518518518519      
  879.782      1.3653055555555556      
  880.509      1.3279074074074073      
  881.236      1.8961666666666666      
  881.964      2.428351851851852       
  882.691      2.812287037037037       
  883.419      2.972111111111111       
  884.146      2.6680277777777777      
  884.874      1.9576296296296296      
  885.601      1.5872037037037037      
  886.329      1.5630185185185186      
  887.056      1.9082407407407407      
  887.784      2.1024907407407407      
  888.511      2.1225833333333335      
  889.238      2.1550185185185184      
  889.966      2.201                   
  890.693      2.251574074074074       
  891.421      2.2772685185185186      
  892.148      2.261                   
  892.876      2.207527777777778       
  893.603      2.1133611111111112      
  894.331      1.9746388888888888      
  895.058      1.8840925925925927      
  895.786      1.7737685185185186      
  896.513      1.5683703703703704      
  897.24       1.3298611111111112      
  897.968      1.1020833333333333      
  898.695      1.172425925925926       
  899.423      1.2571851851851852      
  900.15       1.2417777777777779      
  900.878      1.1481944444444445      
  901.605      0.9186509259259259      
  902.333      0.674012037037037       
  903.06       0.6370796296296297      
  903.788      0.7499194444444445      
  904.515      0.8076777777777777      
  905.243      0.7878537037037037      
  905.97       0.722412037037037       
  906.697      0.6308601851851852      
  907.425      0.5216814814814814      
  908.152      0.5153361111111111      
  908.88       0.5661583333333333      
  909.607      0.58035                 
  910.335      0.5732990740740741      
  911.062      0.5475796296296296      
  911.79       0.4790638888888889      
  912.517      0.40578333333333333     
  913.245      0.3927879629629629      
  913.972      0.4343194444444444      
  914.699      0.4823638888888889      
  915.427      0.49943425925925927     
  916.154      0.4939324074074074      
