# wavelength   electrons_per_sec       
  446.231      6.73382E-5              
  446.504      7.25785E-5              
  446.776      7.87772E-5              
  447.049      8.55401E-5              
  447.321      9.2517E-5               
  447.594      1.00168E-4              
  447.867      1.09178E-4              
  448.139      1.19833E-4              
  448.412      1.32355E-4              
  448.684      1.4697900000000002E-4   
  448.957      1.63314E-4              
  449.23       1.81139E-4              
  449.502      2.0177E-4               
  449.775      2.27557E-4              
  450.047      2.59474E-4              
  450.32       2.97104E-4              
  450.593      3.3938E-4               
  450.865      3.84397E-4              
  451.138      4.29433E-4              
  451.41       4.7460700000000005E-4   
  451.683      5.24079E-4              
  451.956      5.81232E-4              
  452.228      6.48122E-4              
  452.501      7.26536E-4              
  452.774      8.157259999999999E-4    
  453.046      9.12649E-4              
  453.319      0.0010169               
  453.591      0.0011324599999999998   
  453.864      0.00126395              
  454.137      0.00141244              
  454.409      0.0015790399999999999   
  454.682      0.00176572              
  454.954      0.00196826              
  455.227      0.00217658              
  455.5        0.00239786              
  455.772      0.00264615              
  456.045      0.00292447              
  456.317      0.00323046              
  456.59       0.00356636              
  456.863      0.00392378              
  457.135      0.00428548              
  457.408      0.0046476               
  457.68       0.00502539              
  457.953      0.00542987              
  458.226      0.00586247              
  458.498      0.006325610000000001    
  458.771      0.0068201               
  459.044      0.007339640000000001    
  459.316      0.00788499              
  459.589      0.00847233              
  459.861      0.00911841              
  460.134      0.00982563              
  460.407      0.010586199999999999    
  460.679      0.0113905               
  460.952      0.012223800000000002    
  461.224      0.013077100000000001    
  461.497      0.013964500000000001    
  461.77       0.0149124               
  462.042      0.015924300000000002    
  462.315      0.0169785               
  462.587      0.0180519               
  462.86       0.0191181               
  463.133      0.0201491               
  463.405      0.021149099999999997    
  463.678      0.0221584               
  463.95       0.0232153               
  464.223      0.0243571               
  464.496      0.025616999999999997    
  464.768      0.0269982               
  465.041      0.028459099999999998    
  465.314      0.0299436               
  465.586      0.031415900000000004    
  465.859      0.032820100000000005    
  466.131      0.0341862               
  466.404      0.035676599999999996    
  466.677      0.0373646               
  466.949      0.039210999999999996    
  467.222      0.0412051               
  467.494      0.0432642               
  467.767      0.045273                
  468.04       0.0471336               
  468.312      0.0489151               
  468.585      0.0507                  
  468.857      0.0525279               
  469.13       0.0543301               
  469.403      0.0561002               
  469.675      0.0577929               
  469.948      0.0594125               
  470.221      0.061105299999999994    
  470.493      0.0630823               
  470.766      0.0654744               
  471.038      0.0682396               
  471.311      0.07127270000000001     
  471.584      0.0744031               
  471.856      0.0774009               
  472.129      0.08016609999999999     
  472.401      0.08271629999999999     
  472.674      0.0850798               
  472.947      0.08730719999999999     
  473.219      0.089545                
  473.492      0.0919184               
  473.764      0.0945082               
  474.037      0.097305                
  474.31       0.100185                
  474.582      0.10299200000000001     
  474.855      0.10560299999999999     
  475.127      0.107958                
  475.4        0.110053                
  475.673      0.111972                
  475.945      0.113847                
  476.218      0.11588799999999999     
  476.491      0.118316                
  476.763      0.12124                 
  477.036      0.124586                
  477.308      0.128052                
  477.581      0.13129                 
  477.854      0.13408299999999998     
  478.126      0.136468                
  478.399      0.138733                
  478.671      0.141209                
  478.944      0.144033                
  479.217      0.147098                
  479.489      0.150149                
  479.762      0.15293                 
  480.034      0.155405                
  480.307      0.157765                
  480.58       0.160303                
  480.852      0.163187                
  481.125      0.16627099999999997     
  481.397      0.169458                
  481.67       0.172508                
  481.943      0.17491299999999999     
  482.215      0.176718                
  482.488      0.17842                 
  482.761      0.17985                 
  483.033      0.181085                
  483.306      0.182528                
  483.578      0.184147                
  483.851      0.18562599999999999     
  484.124      0.18689099999999997     
  484.396      0.187785                
  484.669      0.188012                
  484.941      0.18750099999999997     
  485.214      0.18625799999999998     
  485.487      0.18454700000000002     
  485.759      0.182508                
  486.032      0.18044200000000002     
  486.304      0.17924400000000001     
  486.577      0.179648                
  486.85       0.18183400000000002     
  487.122      0.18569                 
  487.395      0.19089799999999998     
  487.667      0.19655                 
  487.94       0.201907                
  488.213      0.206482                
  488.485      0.210352                
  488.758      0.21384799999999998     
  489.031      0.21703099999999997     
  489.303      0.21993200000000002     
  489.576      0.22288599999999997     
  489.848      0.22603099999999998     
  490.121      0.22909200000000002     
  490.394      0.23132599999999998     
  490.666      0.23256900000000003     
  490.939      0.23289700000000002     
  491.211      0.23253                 
  491.484      0.231951                
  491.757      0.231783                
  492.029      0.23219299999999998     
  492.302      0.233165                
  492.574      0.23451599999999997     
  492.847      0.236111                
  493.12       0.238267                
  493.392      0.24141900000000002     
  493.665      0.245186                
  493.937      0.249363                
  494.21       0.253494                
  494.483      0.256751                
  494.755      0.258498                
  495.028      0.259306                
  495.301      0.259344                
  495.573      0.259421                
  495.846      0.26052400000000003     
  496.118      0.26265                 
  496.391      0.265078                
  496.664      0.267643                
  496.936      0.269851                
  497.209      0.271057                
  497.481      0.270976                
  497.754      0.269822                
  498.027      0.268001                
  498.299      0.266265                
  498.572      0.265435                
  498.844      0.266122                
  499.117      0.268115                
  499.39       0.270306                
  499.662      0.2717                  
  499.935      0.271802                
  500.207      0.270542                
  500.48       0.268551                
  500.753      0.26673                 
  501.025      0.265496                
  501.298      0.265144                
  501.571      0.265874                
  501.843      0.267569                
  502.116      0.27003099999999997     
  502.388      0.272963                
  502.661      0.275934                
  502.934      0.278584                
  503.206      0.280613                
  503.479      0.28183400000000003     
  503.751      0.282299                
  504.024      0.282317                
  504.297      0.28255                 
  504.569      0.283629                
  504.842      0.285873                
  505.114      0.289086                
  505.387      0.29252900000000004     
  505.66       0.29541                 
  505.932      0.297282                
  506.205      0.298006                
  506.477      0.29781                 
  506.75       0.29718900000000004     
  507.023      0.296455                
  507.295      0.29590099999999997     
  507.568      0.29577                 
  507.841      0.296045                
  508.113      0.296711                
  508.386      0.297719                
  508.658      0.29882400000000003     
  508.931      0.299766                
  509.204      0.30071200000000003     
  509.476      0.30182400000000004     
  509.749      0.303116                
  510.021      0.30463599999999996     
  510.294      0.306537                
  510.567      0.308751                
  510.839      0.311097                
  511.112      0.313189                
  511.384      0.31435599999999997     
  511.657      0.314226                
  511.93       0.312819                
  512.202      0.31048400000000004     
  512.475      0.307921                
  512.747      0.305917                
  513.02       0.304825                
  513.293      0.304651                
  513.565      0.305131                
  513.838      0.305921                
  514.111      0.306898                
  514.383      0.308062                
  514.656      0.309354                
  514.928      0.310512                
  515.201      0.31085799999999997     
  515.474      0.309596                
  515.746      0.306408                
  516.019      0.301658                
  516.291      0.296484                
  516.564      0.292234                
  516.837      0.289837                
  517.109      0.289331                
  517.382      0.289886                
  517.654      0.290375                
  517.927      0.290425                
  518.2        0.29136                 
  518.472      0.29431799999999997     
  518.745      0.298463                
  519.017      0.308396                
  519.29       0.32722599999999996     
  519.563      0.343462                
  519.835      0.350789                
  520.108      0.35351699999999997     
  520.381      0.35063900000000003     
  520.653      0.339286                
  520.926      0.32955199999999996     
  521.198      0.326888                
  521.471      0.327945                
  521.744      0.329281                
  522.016      0.33067300000000005     
  522.289      0.330909                
  522.561      0.330781                
  522.834      0.331669                
  523.107      0.333988                
  523.379      0.33761                 
  523.652      0.34118800000000005     
  523.924      0.344074                
  524.197      0.346342                
  524.47       0.347563                
  524.742      0.34685900000000003     
  525.015      0.347868                
  525.287      0.350038                
  525.56       0.348098                
  525.833      0.34236300000000003     
  526.105      0.335256                
  526.378      0.327492                
  526.651      0.320554                
  526.923      0.31941                 
  527.196      0.323714                
  527.468      0.329474                
  527.741      0.334803                
  528.014      0.339243                
  528.286      0.34194599999999997     
  528.559      0.342913                
  528.831      0.344541                
  529.104      0.34719199999999995     
  529.377      0.350242                
  529.649      0.35316800000000004     
  529.922      0.355566                
  530.194      0.357606                
  530.467      0.35894                 
  530.74       0.360003                
  531.012      0.36106900000000003     
  531.285      0.360896                
  531.557      0.35883                 
  531.83       0.355236                
  532.103      0.350573                
  532.375      0.346964                
  532.648      0.34704                 
  532.921      0.348874                
  533.193      0.351696                
  533.466      0.35474                 
  533.738      0.356098                
  534.011      0.35516400000000004     
  534.284      0.35486300000000004     
  534.556      0.356197                
  534.829      0.35887800000000003     
  535.101      0.362554                
  535.374      0.36573199999999995     
  535.647      0.367279                
  535.919      0.36675800000000003     
  536.192      0.364662                
